addr	timept	g	range
44	0.1	4.80560302734375e-06	3
44	0.01	4.364013671874999e-06	3
44	0.0	4.300537109374999e-06	3
44	4.0	6.46514892578125e-06	3
45	0.1	2.0147705078125e-05	15
45	0.01	1.9476318359375e-05	15
45	4.0	1.0898437499999996e-05	15
45	1.0	2.03955078125e-05	15
45	0.0	1.96240234375e-05	15
45	100000.0	1.7229003906250002e-05	15
46	100000.0	2.2825927734375e-05	21
46	0.01	2.6281738281249992e-05	21
46	0.1	2.6190185546874995e-05	21
46	0.0	2.625244140625e-05	21
46	1.0	2.252197265624999e-05	21
46	4.0	2.2667236328124992e-05	21
47	100000.0	3.351806640625001e-05	26
47	0.0	3.274902343749999e-05	26
47	1.0	3.308349609375e-05	26
47	4.0	3.220458984375e-05	26
47	0.1	3.222290039062499e-05	26
47	0.01	3.2652587890624994e-05	26
48	4.0	1.2330627441406245e-06	0
48	0.0	7.82546997070312e-07	0
48	0.1	1.1312866210937493e-06	0
48	0.01	6.832885742187495e-07	0
48	1.0	1.2908172607421871e-06	0
48	100000.0	2.809143066406252e-06	0
49	0.1	3.0999755859374994e-05	25
49	100000.0	3.0963134765625e-05	25
49	0.0	3.1776123046875e-05	25
49	1.0	3.0645751953124986e-05	25
49	0.01	3.205322265624999e-05	25
50	100000.0	7.649993896484377e-07	0
50	0.1	1.1406707763671871e-06	0
50	0.01	8.471679687500002e-07	0
50	1.0	1.2543487548828123e-06	0
50	4.0	9.600830078125e-07	0
50	0.0	8.386230468750002e-07	0
51	0.01	1.0740356445312494e-05	8
51	0.0	1.0484619140625e-05	8
51	1.0	8.593139648437497e-06	8
51	0.1	9.971923828125003e-06	8
51	100000.0	7.020874023437501e-06	8
52	0.0	2.074096679687499e-05	16
52	0.1	2.0118408203125e-05	16
52	0.01	1.9777832031249993e-05	16
52	4.0	2.1910400390625e-05	16
52	1.0	2.0583496093749992e-05	16
52	100000.0	2.158935546875e-05	16
53	0.1	3.6552734374999984e-05	29
53	0.01	3.577880859375e-05	29
53	1.0	3.617919921874999e-05	29
53	4.0	3.663330078124999e-05	29
53	100000.0	3.55859375e-05	29
53	0.0	3.6743164062499985e-05	29
54	4.0	4.7338867187499985e-06	1
54	0.01	1.298141479492187e-06	1
54	0.1	4.41314697265625e-06	1
54	1.0	4.436340332031248e-06	1
54	0.0	1.3551330566406246e-06	1
54	100000.0	9.040069580078129e-07	1
55	0.01	1.5697021484375e-05	12
55	100000.0	1.50909423828125e-05	12
55	4.0	1.4133911132812496e-05	12
55	1.0	1.5266723632812494e-05	12
55	0.1	1.6102294921874993e-05	12
55	0.0	1.5760498046874994e-05	12
56	0.01	2.3558349609374993e-05	18
56	1.0	2.2899169921874994e-05	18
56	4.0	2.1981201171875e-05	18
56	0.0	2.2786865234375e-05	18
56	0.1	2.3055419921875005e-05	18
56	100000.0	1.9975585937500008e-05	18
57	0.1	2.6409912109375e-05	21
57	1.0	2.6784667968749994e-05	21
57	0.01	2.6313476562499993e-05	21
57	100000.0	2.4748535156250007e-05	21
57	0.0	2.6806640625e-05	21
58	4.0	8.452758789062497e-06	4
58	0.1	7.499694824218746e-06	4
58	0.01	7.633361816406247e-06	4
58	0.0	5.559997558593749e-06	4
58	100000.0	3.5269165039062506e-06	4
58	1.0	7.3724365234375e-06	4
59	0.0	2.1729736328124993e-05	17
59	0.1	2.1304931640624995e-05	17
59	100000.0	2.8679199218750005e-05	17
59	0.01	2.1773681640624993e-05	17
59	1.0	2.1071777343750006e-05	17
60	1.0	2.5341796875e-05	20
60	0.1	2.5207519531249995e-05	20
60	100000.0	2.5472412109375006e-05	20
60	0.0	2.5614013671875e-05	20
60	0.01	2.517822265624999e-05	20
61	100000.0	2.7153320312500007e-05	21
61	0.0	2.6539306640624992e-05	21
61	4.0	2.7885742187499994e-05	21
61	1.0	3.1202392578124994e-05	21
61	0.01	2.6186523437499992e-05	21
61	0.1	3.0306396484374995e-05	21
62	0.1	1.1835479736328122e-06	0
62	4.0	2.447662353515624e-06	0
62	0.01	9.923553466796872e-07	0
62	1.0	2.2541809082031246e-06	0
62	100000.0	1.090927124023438e-06	0
62	0.0	1.009063720703125e-06	0
63	0.0	3.4594726562499985e-05	27
63	1.0	3.4482421874999994e-05	27
63	0.01	3.4792480468749986e-05	27
63	0.1	3.642333984375e-05	27
63	100000.0	3.1419677734375e-05	27
64	0.0	1.7587280273437494e-05	14
64	0.1	1.6828613281249998e-05	14
64	1.0	1.4569091796874996e-05	14
64	4.0	1.6799316406249992e-05	14
64	0.01	1.7046508789062496e-05	14
64	100000.0	1.638671875e-05	14
65	1.0	2.0131835937499995e-05	19
65	0.0	2.4267578124999994e-05	19
65	0.01	2.421630859374999e-05	19
65	100000.0	1.26715087890625e-05	19
65	0.1	1.935791015625e-05	19
66	100000.0	2.07861328125e-05	16
66	1.0	2.388671875e-05	16
66	0.1	2.4027099609375e-05	16
66	0.01	2.335693359374999e-05	16
66	0.0	2.1046142578125e-05	16
67	1.0	1.9398193359375e-05	16
67	100000.0	1.77264404296875e-05	16
67	0.01	2.015869140625e-05	16
67	0.1	2.0427246093749995e-05	16
67	0.0	2.011474609374999e-05	16
68	0.01	1.8183593749999994e-05	14
68	0.0	1.8138427734374993e-05	14
68	1.0	1.5953369140624993e-05	14
68	100000.0	1.6392822265625002e-05	14
68	0.1	1.6884765625000007e-05	14
69	4.0	3.4320068359375e-06	5
69	0.01	6.86859130859375e-06	5
69	0.1	7.352905273437497e-06	5
69	100000.0	7.954101562499998e-06	5
69	0.0	6.940002441406247e-06	5
69	1.0	3.10302734375e-06	5
70	4.0	1.3815917968749994e-05	11
70	1.0	1.4306030273437498e-05	11
70	0.1	1.4218139648437494e-05	11
70	0.0	1.4754028320312493e-05	11
70	0.01	1.4562377929687495e-05	11
70	100000.0	3.4816894531250004e-05	11
71	0.0	2.6101684570312507e-06	2
71	4.0	2.0065307617187492e-06	2
71	1.0	2.105102539062499e-06	2
71	0.1	2.595062255859374e-06	2
71	100000.0	2.16766357421875e-06	2
71	0.01	2.6139831542968757e-06	2
72	0.1	2.771728515625e-05	22
72	100000.0	2.6717529296875004e-05	22
72	0.0	2.8271484374999986e-05	22
72	0.01	2.8284912109374993e-05	22
